2023-04-10 23:36:11,607 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 607849, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,608 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 608847, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,608 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 608847, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,608 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 608847, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,608 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 608847, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,609 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 609910, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,609 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 609910, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,609 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 609910, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,612 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 612002, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,612 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 612758, tzinfo=datetime.timezone.utc), 'quantity': 1, 'buy_sell': 'BUY', 'price': 1}
2023-04-10 23:36:11,612 - root - INFO - Recorded trade: {'timestamp': datetime.datetime(2023, 4, 10, 22, 36, 11, 612992, tzinfo=datetime.timezone.utc), 'quantity': 1000000, 'buy_sell': 'BUY', 'price': 1000}
